char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_413,平成,肉体,女,74,1870000,42,100,33,0,8,73,12,15,9,老衰,0,0,0
sim_414,令和,コミュ,男,79,2900000,0,100,33,0,8,15,80,6,8,病死,0,0,0
sim_415,平成,頭脳,女,77,2260000,0,100,33,0,77,12,7,14,10,病死,0,0,0
sim_416,令和,運,男,77,2600000,0,100,33,50,10,14,7,12,30,病死,0,0,0
sim_417,平成,運,女,75,2000000,0,100,33,50,6,10,13,6,23,病死,0,0,0
sim_418,昭和,頭脳,女,78,1490000,0,100,33,0,83,13,8,5,6,病死,0,0,0
sim_419,昭和,コミュ,女,75,1250000,6,100,33,0,15,7,82,7,9,寿命,0,0,0
sim_420,昭和,運,女,77,1410000,0,100,33,50,11,12,14,10,28,病死,0,0,0
sim_421,昭和,肉体,男,74,1170000,44,100,33,0,9,76,11,5,8,寿命,0,0,0
sim_422,近未来,運,男,78,5940000,0,100,33,50,14,10,13,7,21,病死,0,0,0
sim_423,令和,運,男,76,2450000,0,100,33,50,8,11,12,5,28,病死,0,0,0
sim_424,昭和,肉体,女,27,50000,99,100,29,0,11,44,10,5,8,老衰,0,0,0
sim_425,令和,運,男,75,2300000,0,100,33,50,6,11,8,9,25,病死,0,0,0
sim_426,令和,センス,女,79,2900000,0,100,33,0,11,6,13,82,9,病死,0,0,0
sim_427,昭和,センス,男,77,1410000,0,100,33,0,13,15,15,80,15,病死,0,0,0
sim_428,昭和,頭脳,女,75,1250000,9,100,33,0,83,7,14,6,13,寿命,0,0,0
sim_429,令和,運,女,77,2600000,0,100,33,50,11,13,15,7,21,病死,0,0,0
sim_430,令和,運,男,77,2600000,0,100,33,50,12,14,15,8,22,病死,0,0,0
sim_431,平成,頭脳,女,79,2520000,2,100,33,0,76,8,6,14,12,寿命,0,0,0
sim_432,令和,センス,女,77,2600000,0,100,33,0,6,10,8,85,6,病死,0,0,0
sim_433,昭和,頭脳,男,68,690000,29,100,32,0,81,10,12,10,6,寿命,0,0,0
sim_434,昭和,頭脳,男,78,1490000,0,100,33,0,81,9,13,9,11,病死,0,0,0
sim_435,平成,肉体,男,85,3300000,0,100,34,0,9,80,12,5,13,病死,1,0,0
sim_436,平成,センス,男,79,2520000,0,100,33,0,15,13,15,79,13,病死,0,0,0
sim_437,平成,肉体,女,83,3040000,6,100,33,0,5,76,11,13,14,寿命,1,0,0
sim_438,昭和,肉体,女,78,1490000,29,100,33,0,8,80,6,15,5,寿命,0,0,0
sim_439,近未来,肉体,男,83,7090000,0,100,33,0,5,91,9,15,15,病死,1,0,0
sim_440,近未来,センス,女,81,6630000,0,100,33,0,13,8,7,81,6,病死,1,0,0
