char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_0,近未来,センス,男,41,850000,98,100,30,0,10,12,6,53,12,老衰,0,0,41
sim_1,昭和,センス,女,80,1650000,0,100,33,0,6,9,10,83,5,病死,1,0,80
sim_2,平成,運,女,83,3040000,0,100,33,50,5,15,8,8,49,病死,1,0,83
sim_3,近未来,頭脳,女,82,6860000,0,100,33,0,75,9,12,11,10,病死,1,0,82
sim_4,令和,コミュ,男,82,3350000,0,100,33,0,9,9,87,10,9,病死,1,0,82
sim_5,令和,コミュ,男,79,2900000,0,100,33,0,9,8,92,10,10,病死,0,0,79
sim_6,昭和,頭脳,女,80,1650000,8,100,33,0,83,10,11,11,9,寿命,1,0,80
sim_7,昭和,頭脳,女,82,1810000,0,100,33,0,89,6,15,8,7,病死,1,0,82
sim_8,昭和,コミュ,男,78,1490000,18,100,33,0,10,7,71,11,6,寿命,0,0,78
sim_9,平成,センス,女,75,2000000,27,100,33,0,15,14,6,82,9,寿命,0,0,75
sim_10,平成,運,女,80,2650000,0,100,33,50,7,13,5,12,61,病死,1,0,80
sim_11,昭和,肉体,男,81,1730000,31,100,33,0,13,77,14,6,9,寿命,1,0,81
sim_12,昭和,肉体,女,83,1890000,27,100,33,0,8,78,9,9,15,寿命,1,0,83
sim_13,令和,運,女,83,3500000,0,100,33,50,13,15,14,7,53,病死,1,0,83
sim_14,昭和,センス,女,81,1730000,7,100,33,0,13,11,6,83,6,寿命,1,0,81
sim_15,昭和,肉体,男,83,1890000,17,100,33,0,12,87,12,12,6,寿命,1,0,83
sim_16,昭和,肉体,男,69,770000,60,100,32,0,7,68,10,15,7,老衰,0,0,69
sim_17,令和,コミュ,女,84,3650000,0,100,33,0,6,14,79,15,13,病死,1,0,84
sim_18,令和,コミュ,男,81,3200000,0,100,33,0,13,6,85,10,5,病死,1,0,81
sim_19,昭和,頭脳,男,78,1490000,6,100,33,0,81,8,9,13,11,寿命,0,0,78
sim_20,令和,頭脳,男,81,3200000,0,100,33,0,87,13,5,9,10,病死,1,0,81
sim_21,令和,肉体,男,93,5000000,1,100,34,0,11,81,6,5,14,寿命,1,0,93
sim_22,近未来,センス,男,82,6860000,0,100,33,0,7,10,10,79,6,病死,1,0,82
sim_23,令和,センス,女,82,3350000,0,100,33,0,15,12,10,87,14,病死,1,0,82
sim_24,平成,肉体,男,90,3950000,0,100,34,0,12,91,8,8,15,病死,1,0,90
sim_25,近未来,コミュ,男,82,6860000,0,100,33,0,15,12,84,5,8,病死,1,0,82
sim_26,令和,肉体,女,88,4250000,0,100,34,0,10,87,9,11,8,病死,1,0,88
sim_27,近未来,頭脳,男,80,6400000,0,100,33,0,82,7,7,12,6,病死,1,0,80
sim_28,令和,コミュ,女,83,3500000,0,100,33,0,9,10,77,10,9,病死,1,0,83
sim_29,近未来,頭脳,女,73,4790000,31,100,33,0,72,6,7,13,5,老衰,0,0,73
sim_30,昭和,運,女,81,1730000,0,100,33,50,10,11,11,7,53,病死,1,0,81
sim_31,平成,運,女,80,2650000,0,100,33,50,14,9,7,14,59,病死,1,0,80
sim_32,近未来,頭脳,女,83,7090000,0,100,33,0,79,11,8,9,6,病死,1,0,83
sim_33,令和,頭脳,男,79,2900000,0,100,33,0,83,8,9,5,13,病死,0,0,79
sim_34,平成,運,女,79,2520000,0,100,33,50,6,11,12,9,54,病死,0,0,79
sim_35,近未来,肉体,男,21,50000,100,100,28,0,14,39,14,14,5,老衰,0,0,21
sim_36,平成,頭脳,男,80,2650000,0,100,33,0,88,11,8,15,7,病死,1,0,80
sim_37,令和,コミュ,女,82,3350000,0,100,33,0,14,10,84,15,6,病死,1,0,82
sim_38,平成,センス,男,83,3040000,0,100,33,0,5,15,9,79,15,病死,1,0,83
sim_39,近未来,運,女,84,7320000,0,100,33,50,11,10,11,11,56,病死,1,0,84
sim_40,令和,センス,女,84,3650000,0,100,33,0,6,6,14,85,6,病死,1,0,84
sim_41,平成,肉体,男,81,2780000,25,100,33,0,14,78,7,6,11,寿命,1,0,81
sim_42,昭和,センス,男,79,1570000,6,100,33,0,6,14,14,88,8,寿命,0,0,79
sim_43,平成,運,男,75,2000000,17,100,33,50,8,6,7,6,50,老衰,0,0,75
sim_44,昭和,センス,女,81,1730000,3,100,33,0,8,14,7,88,7,寿命,1,0,81
sim_45,令和,コミュ,女,79,2900000,0,100,33,0,15,14,90,15,11,病死,0,0,79
sim_46,昭和,頭脳,女,79,1570000,0,100,33,0,83,11,6,8,15,病死,0,0,79
sim_47,令和,肉体,女,89,4400000,1,100,34,0,11,86,13,7,10,寿命,1,0,89
sim_48,昭和,コミュ,男,80,1650000,0,100,33,0,11,5,89,8,14,病死,1,0,80
sim_49,令和,頭脳,女,84,3650000,0,100,33,0,89,8,9,6,15,病死,1,0,84
sim_50,昭和,運,女,84,1970000,0,100,33,50,9,7,9,15,48,病死,1,0,84
sim_51,昭和,センス,女,83,1890000,0,100,33,0,5,5,6,90,13,病死,1,0,83
sim_52,近未来,センス,女,79,6170000,14,100,33,0,5,14,14,77,7,老衰,0,0,79
sim_53,令和,コミュ,男,83,3500000,0,100,33,0,12,14,85,7,8,病死,1,0,83
sim_54,近未来,コミュ,男,81,6630000,0,100,33,0,12,9,83,7,15,病死,1,0,81
sim_55,昭和,運,男,80,1650000,9,100,33,50,10,7,12,8,53,寿命,1,0,80
sim_56,平成,コミュ,男,86,3430000,0,100,34,0,10,7,90,13,11,病死,1,0,86
sim_57,平成,コミュ,女,81,2780000,0,100,33,0,9,10,80,11,12,病死,1,0,81
sim_58,平成,コミュ,男,81,2780000,10,100,33,0,7,11,82,14,7,寿命,1,0,81
sim_59,令和,センス,女,85,3800000,0,100,34,0,6,13,7,82,13,病死,1,0,85
sim_60,平成,コミュ,男,80,2650000,0,100,33,0,5,13,90,5,5,病死,1,0,80
sim_61,令和,頭脳,女,81,3200000,0,100,33,0,81,7,11,12,5,病死,1,0,81
sim_62,近未来,頭脳,女,84,7320000,0,100,33,0,83,9,13,6,10,病死,1,0,84
sim_63,令和,センス,女,83,3500000,0,100,33,0,12,9,6,74,11,病死,1,0,83
sim_64,昭和,運,男,81,1730000,0,100,33,50,15,12,14,15,55,病死,1,0,81
sim_65,近未来,頭脳,男,82,6860000,0,100,33,0,76,8,14,8,6,病死,1,0,82
sim_66,近未来,センス,男,81,6630000,0,100,33,0,8,6,9,93,15,病死,1,0,81
sim_67,近未来,コミュ,女,82,6860000,0,100,33,0,15,6,82,7,5,病死,1,0,82
sim_68,令和,コミュ,女,84,3650000,0,100,33,0,9,10,81,14,15,病死,1,0,84
sim_69,昭和,運,女,82,1810000,0,100,33,50,5,7,12,8,59,病死,1,0,82
sim_70,平成,肉体,男,89,3820000,0,100,34,0,10,90,14,13,15,病死,1,0,89
sim_71,平成,頭脳,女,81,2780000,0,100,33,0,90,13,11,11,8,病死,1,0,81
sim_72,平成,頭脳,男,83,3040000,0,100,33,0,81,10,13,7,15,病死,1,0,83
sim_73,昭和,頭脳,男,79,1570000,14,100,33,0,75,11,5,5,12,寿命,0,0,79
