char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_393,昭和,頭脳,女,87,2210000,11,100,34,0,87,9,11,12,11,寿命,1,0,87
sim_394,近未来,コミュ,男,88,8240000,19,100,34,0,7,13,92,14,14,寿命,1,0,88
sim_395,近未来,センス,男,86,7780000,36,100,34,0,8,9,15,76,12,老衰,1,0,86
sim_396,昭和,肉体,男,92,2610000,27,100,34,0,5,97,14,12,15,寿命,1,0,92
sim_397,平成,センス,女,86,3430000,21,100,34,0,9,12,6,92,9,寿命,1,0,86
sim_398,令和,コミュ,男,89,4400000,0,100,34,0,13,14,84,11,13,病死,1,0,89
sim_399,平成,コミュ,男,92,4210000,4,100,34,0,8,7,83,15,12,寿命,1,0,92
sim_400,昭和,肉体,女,93,2690000,28,100,34,0,12,86,11,8,14,寿命,1,0,93
sim_401,近未来,頭脳,女,91,8930000,0,100,34,0,88,15,13,14,5,病死,1,0,91
sim_402,近未来,肉体,男,93,9390000,32,100,34,0,11,97,15,8,11,寿命,1,0,93
sim_403,平成,運,女,24,50000,100,100,28,14,10,11,15,5,31,老衰,0,0,24
sim_404,平成,センス,男,93,4340000,2,100,34,0,11,11,10,86,7,寿命,1,0,93
sim_405,昭和,肉体,女,90,2450000,33,100,34,0,5,97,14,6,15,寿命,1,0,90
sim_406,昭和,コミュ,男,80,1650000,33,100,33,0,8,15,83,8,10,寿命,1,0,80
sim_407,平成,運,女,95,4600000,0,100,34,50,10,12,10,15,59,病死,1,0,95
sim_408,近未来,コミュ,女,94,9620000,0,100,34,0,6,15,95,15,12,病死,1,0,94
sim_409,令和,頭脳,男,89,4400000,9,100,34,0,94,8,9,6,7,寿命,1,0,89
sim_410,昭和,運,男,90,2450000,2,100,34,50,10,11,14,6,59,寿命,1,0,90
sim_411,令和,コミュ,男,89,4400000,0,100,34,0,7,8,98,7,10,病死,1,0,89
sim_412,近未来,センス,女,93,9390000,0,100,34,0,6,13,9,96,12,病死,1,0,93
sim_413,昭和,頭脳,男,87,2210000,17,100,34,0,87,11,7,8,10,寿命,1,0,87
sim_414,近未来,コミュ,男,90,8700000,0,100,34,0,6,10,94,8,14,病死,1,0,90
sim_415,近未来,肉体,男,78,5940000,59,100,33,0,11,82,5,5,9,老衰,0,0,78
sim_416,近未来,コミュ,女,89,8470000,0,100,34,0,11,5,95,7,8,病死,1,0,89
sim_417,近未来,運,女,91,8930000,0,100,34,50,12,6,7,15,56,病死,1,0,91
sim_418,平成,肉体,女,87,3560000,42,100,34,0,15,85,8,10,6,寿命,1,0,87
sim_419,平成,運,女,92,4210000,0,100,34,50,11,11,9,8,61,病死,1,0,92
sim_420,近未来,センス,男,94,9620000,0,100,34,0,15,7,5,96,7,病死,1,0,94
sim_421,近未来,コミュ,女,92,9160000,0,100,34,0,6,6,97,13,5,病死,1,0,92
sim_422,令和,頭脳,男,91,4700000,0,100,34,0,90,6,7,9,5,病死,1,0,91
sim_423,近未来,頭脳,男,91,8930000,0,100,34,0,93,10,8,8,12,病死,1,0,91
sim_424,平成,運,女,74,1870000,45,100,33,50,7,9,8,12,52,老衰,0,0,74
sim_425,昭和,頭脳,女,80,1650000,37,100,33,0,83,7,14,5,6,寿命,1,0,80
sim_426,近未来,頭脳,女,91,8930000,0,100,34,0,90,6,7,13,12,病死,1,0,91
sim_427,平成,コミュ,男,90,3950000,8,100,34,0,6,11,92,6,6,寿命,1,0,90
sim_428,近未来,センス,女,91,8930000,0,100,34,0,10,15,15,91,13,病死,1,0,91
sim_429,平成,コミュ,男,76,2130000,41,100,33,0,6,8,81,11,9,老衰,0,0,76
sim_430,令和,頭脳,男,81,3200000,37,100,33,0,79,7,12,14,8,老衰,1,0,81
sim_431,平成,センス,女,91,4080000,1,100,34,0,7,8,9,97,5,寿命,1,0,91
sim_432,令和,肉体,女,95,5300000,18,100,34,0,12,96,15,14,8,寿命,1,0,95
sim_433,近未来,運,男,89,8470000,13,100,34,50,14,15,13,13,62,寿命,1,0,89
sim_434,近未来,センス,男,98,10540000,0,100,35,0,9,10,11,88,15,病死,1,0,98
sim_435,令和,肉体,男,81,3200000,53,100,33,0,12,84,14,10,9,老衰,1,0,81
sim_436,近未来,頭脳,女,49,1250000,100,100,31,0,47,15,9,6,8,老衰,0,0,49
sim_437,令和,肉体,男,90,4550000,33,100,34,0,15,94,5,10,12,寿命,1,0,90
sim_438,令和,肉体,男,94,5150000,23,100,34,0,5,100,8,13,14,寿命,1,0,94
sim_439,令和,センス,男,90,4550000,14,100,34,0,5,11,12,88,12,寿命,1,0,90
sim_440,令和,頭脳,男,90,4550000,13,100,34,0,88,12,15,11,8,寿命,1,0,90
sim_441,近未来,運,女,92,9160000,0,100,34,50,10,12,6,11,53,病死,1,0,92
sim_442,令和,運,男,90,4550000,0,100,34,50,6,15,8,8,57,病死,1,0,90
sim_443,令和,頭脳,男,92,4850000,0,100,34,0,89,10,15,15,6,病死,1,0,92
sim_444,昭和,頭脳,男,93,2690000,5,100,34,0,89,6,14,6,11,寿命,1,0,93
sim_445,近未来,コミュ,男,93,9390000,0,100,34,0,5,6,99,10,5,病死,1,0,93
sim_446,昭和,センス,女,85,2050000,22,100,34,0,9,12,12,78,12,寿命,1,0,85
sim_447,令和,運,男,94,5150000,3,100,34,50,9,12,8,7,54,寿命,1,0,94
sim_448,平成,コミュ,男,87,3560000,19,100,34,0,13,7,86,8,11,寿命,1,0,87
sim_449,平成,頭脳,男,92,4210000,0,100,34,0,92,7,13,10,5,病死,1,0,92
sim_450,令和,センス,男,92,4850000,0,100,34,0,8,10,10,89,12,病死,1,0,92
sim_451,平成,肉体,男,89,3820000,36,100,34,0,6,88,6,12,5,寿命,1,0,89
sim_452,令和,センス,女,96,5450000,3,100,34,0,10,6,11,92,5,寿命,1,0,96
sim_453,昭和,肉体,男,90,2450000,37,100,34,0,13,93,14,11,15,寿命,1,0,90
sim_454,令和,運,男,92,4850000,1,100,34,50,13,8,14,6,56,寿命,1,0,92
sim_455,昭和,肉体,女,91,2530000,36,100,34,0,11,85,13,8,15,寿命,1,0,91
sim_456,近未来,運,女,93,9390000,0,100,34,50,6,9,11,5,63,病死,1,0,93
sim_457,昭和,肉体,男,87,2210000,42,100,34,0,9,84,5,14,12,寿命,1,0,87
sim_458,近未来,コミュ,女,92,9160000,0,100,34,0,8,10,100,11,5,病死,1,0,92
sim_459,平成,センス,男,90,3950000,11,100,34,0,7,8,9,89,10,寿命,1,0,90
sim_460,近未来,肉体,男,103,11690000,4,100,35,0,9,100,9,14,9,寿命,1,0,103
sim_461,平成,運,女,92,4210000,0,100,34,50,13,13,5,14,59,病死,1,0,92
sim_462,昭和,コミュ,女,78,1490000,44,100,33,0,11,13,85,5,6,寿命,0,0,78
sim_463,昭和,頭脳,女,78,1490000,41,100,33,0,80,9,9,12,9,寿命,0,0,78
sim_464,昭和,コミュ,男,88,2290000,10,100,34,0,10,13,89,13,10,寿命,1,0,88
sim_465,令和,肉体,女,104,6650000,0,100,35,0,13,100,14,6,7,病死,1,0,104
sim_466,令和,コミュ,女,91,4700000,0,100,34,0,8,12,96,8,13,病死,1,0,91
sim_467,昭和,頭脳,女,74,1170000,51,100,33,0,75,15,9,11,8,老衰,0,0,74
sim_468,平成,頭脳,男,91,4080000,6,100,34,0,88,5,8,11,11,寿命,1,0,91
