char_id,era,strength,gender,final_age,final_asset,final_health,final_happiness,final_status,final_humanity,peak_brain,peak_body,peak_social,peak_sense,peak_luck,death_cause,reached_age_80,bankrupt,events_fired
sim_0,近未来,センス,男,41,850000,100,100,30,0,14,9,5,52,8,老衰,0,0,41
sim_1,昭和,センス,女,92,2610000,0,100,34,0,7,5,11,98,9,病死,1,0,92
sim_2,昭和,コミュ,男,91,2530000,0,100,34,0,8,7,91,12,8,病死,1,0,91
sim_3,近未来,肉体,女,104,11920000,5,100,35,0,13,92,7,14,11,寿命,1,0,104
sim_4,平成,肉体,女,108,6290000,0,100,35,0,6,99,11,11,11,病死,1,0,108
sim_5,昭和,センス,女,92,2610000,0,100,34,0,10,15,7,94,10,病死,1,0,92
sim_6,昭和,センス,女,77,1410000,52,100,33,0,5,14,13,71,12,寿命,0,0,77
sim_7,平成,頭脳,男,91,4080000,0,100,34,0,92,12,12,15,8,病死,1,0,91
sim_8,令和,頭脳,女,88,4250000,4,100,34,0,93,15,13,15,11,寿命,1,0,88
sim_9,昭和,頭脳,女,94,2770000,0,100,34,0,97,15,5,14,13,病死,1,0,94
sim_10,平成,センス,男,88,3690000,10,100,34,0,12,8,15,87,11,寿命,1,0,88
sim_11,平成,頭脳,女,94,4470000,0,100,34,0,100,15,12,13,8,病死,1,0,94
sim_12,平成,頭脳,男,91,4080000,14,100,34,0,86,15,11,11,13,寿命,1,0,91
sim_13,昭和,センス,男,84,1970000,26,100,33,0,8,14,15,93,10,寿命,1,0,84
sim_14,近未来,肉体,男,101,11230000,6,100,35,0,6,96,13,5,10,寿命,1,0,101
sim_15,平成,肉体,女,97,4860000,20,100,35,0,10,89,13,12,10,寿命,1,0,97
sim_16,平成,センス,男,79,2520000,32,100,33,0,6,12,7,84,14,寿命,0,0,79
sim_17,平成,コミュ,女,75,2000000,42,100,33,0,5,15,86,9,11,老衰,0,0,75
sim_18,近未来,コミュ,男,94,9620000,0,100,34,0,11,7,100,6,12,病死,1,0,94
sim_19,令和,肉体,女,94,5150000,27,100,34,0,5,79,12,13,8,寿命,1,0,94
sim_20,令和,運,男,89,4400000,0,100,34,50,8,12,8,15,59,病死,1,0,89
sim_21,平成,コミュ,男,84,3170000,23,100,33,0,7,8,92,15,6,寿命,1,0,84
sim_22,令和,コミュ,男,91,4700000,0,100,34,0,5,7,88,8,13,病死,1,0,91
sim_23,平成,頭脳,男,92,4210000,8,100,34,0,80,10,12,9,11,寿命,1,0,92
sim_24,昭和,コミュ,女,92,2610000,0,100,34,0,14,15,89,13,8,病死,1,0,92
sim_25,平成,センス,女,86,3430000,21,100,34,0,10,8,10,85,9,寿命,1,0,86
sim_26,近未来,肉体,女,105,12150000,0,100,35,0,6,99,8,8,15,病死,1,0,105
sim_27,近未来,運,女,91,8930000,0,100,34,50,15,8,12,9,64,病死,1,0,91
sim_28,平成,肉体,女,103,5640000,6,100,35,0,6,97,10,9,6,寿命,1,0,103
sim_29,近未来,センス,男,90,8700000,0,100,34,0,8,10,10,89,5,病死,1,0,90
sim_30,平成,頭脳,男,88,3690000,1,100,34,0,89,10,8,11,7,寿命,1,0,88
sim_31,昭和,コミュ,女,83,1890000,33,100,33,0,13,6,86,6,10,寿命,1,0,83
sim_32,昭和,運,女,93,2690000,0,100,34,50,10,5,8,5,60,病死,1,0,93
sim_33,令和,運,女,92,4850000,2,100,34,50,15,7,6,15,57,寿命,1,0,92
sim_34,近未来,コミュ,男,81,6630000,26,100,33,0,6,10,79,12,9,老衰,1,0,81
sim_35,昭和,肉体,男,87,2210000,44,100,34,0,10,83,5,7,10,寿命,1,0,87
sim_36,平成,頭脳,女,58,50000,86,100,31,0,73,13,8,13,12,老衰,0,0,58
sim_37,昭和,頭脳,女,88,2290000,7,100,34,0,87,9,5,9,12,寿命,1,0,88
